trial_idx,B,J,K,human_choice,model_choice,lp_B,lp_J,lp_K,prob_B,prob_J,prob_K,nll,correct,n_samples,n_parse_failed,model,method,modality,n_images
0,scone,pie,ant,K,K,-7.602401335665818,-7.602401335665818,-0.0009990010820847954,0.0004992511233150274,0.0004992511233150274,0.99900149775337,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
1,bag,eel,trampoline,J,J,-7.602401335665818,-0.0009990010820847954,-7.602401335665818,0.0004992511233150274,0.99900149775337,0.0004992511233150274,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
2,mannequin,stove,coin,K,K,-7.602401335665818,-7.602401335665818,-0.0009990010820847954,0.0004992511233150274,0.0004992511233150274,0.99900149775337,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
3,tick,binder,shoelace,B,B,-0.0009990010820847954,-7.602401335665818,-7.602401335665818,0.99900149775337,0.0004992511233150274,0.0004992511233150274,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
4,chip,iguana,hedge,B,B,-0.0009990010820847954,-7.602401335665818,-7.602401335665818,0.99900149775337,0.0004992511233150274,0.0004992511233150274,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
5,pheasant,sponge,orchid,J,B,-0.0009990010820847954,-7.602401335665818,-7.602401335665818,0.99900149775337,0.0004992511233150274,0.0004992511233150274,7.602401335665818,False,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
6,boy,burrito,microscope,J,K,-7.602401335665818,-7.602401335665818,-0.0009990010820847954,0.0004992511233150274,0.0004992511233150274,0.99900149775337,7.602401335665818,False,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
7,maggot,mouth,stockings,B,B,-0.0009990010820847954,-7.602401335665818,-7.602401335665818,0.99900149775337,0.0004992511233150274,0.0004992511233150274,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
8,tortellini,cantaloupe,sequin,K,K,-7.602401335665818,-7.602401335665818,-0.0009990010820847954,0.0004992511233150274,0.0004992511233150274,0.99900149775337,0.0009990010820847954,True,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
9,bun,snow,tinsel,J,B,-0.0009990010820847954,-7.602401335665818,-7.602401335665818,0.99900149775337,0.0004992511233150274,0.0004992511233150274,7.602401335665818,False,20.0,0.0,claude-sonnet-4-5,sampling_n20,vision,
